id,tipo,text_start,text_end,text
10561201,MajorClaim,1,162,"A combination of mitoxantrone plus prednisone is preferable to prednisone alone for reduction of pain in men with metastatic, hormone-resistant, prostate cancer."
10561201,Premise,992,1058,"At 6 weeks, both groups showed improvement in several HQL domains,"
10561201,Premise,1063,1187,"only physical functioning and pain were better in the mitoxantrone-plus-prednisone group than in the prednisone-alone group."
10561201,Premise,1188,1447,"After 6 weeks, patients taking prednisone showed no improvement in HQL scores, whereas those taking mitoxantrone plus prednisone showed significant improvements in global quality of life (P =.009), four functioning domains, and nine symptoms (.001 < P <. 01),"
10561201,Premise,1452,1568,"the improvement (> 10 units on a scale of 0 to100) lasted longer than in the prednisone-alone group (.004 < P <.05)."
10561201,Premise,1569,1768,"The addition of mitoxantrone to prednisone after failure of prednisone alone was associated with improvements in pain, pain impact, pain relief, insomnia, and global quality of life (.001 < P <.003)."
10561201,Claim,1769,1945,"Treatment with mitoxantrone plus prednisone was associated with greater and longer-lasting improvement in several HQL domains and symptoms than treatment with prednisone alone."
10561203,Claim,1,318,"In endocrine therapy trials in advanced breast cancer, patients with response (complete response/partial response [CR/PR]) and patients with stable disease for at least 6 months (SD(6m)) have shown similar survival and therefore are often defined as a population with clinical benefit (patients with CR/PR or SD(6m))."
10561203,Premise,1354,1442,"responders indicated better physical well-being (P =. 004) and mood (P =.02) at month 3."
10561203,Premise,1443,1592,"Compared only with patients with SD(6m), responders showed no significant difference in baseline QL and time to treatment failure (328.5 v 340 days)."
10561203,Premise,1593,1827,"While under treatment, responders reported significantly better physical well-being (months 3 to 11), mood (months 5 to 11), coping (months 5 to 9), and appetite (months 7 to 11) and less dizziness (month 9) than patients with SD(6m)."
10561203,Premise,1828,1978,"The changes between baseline and months 5 and 7, respectively, indicated improvement in responders but heterogeneous patterns in patients with SD(6m)."
10561203,Premise,1979,2055,"Although the CR/PR and SD(6m) groups had similar times to treatment failure,"
10561203,Claim,2056,2167,"patients with CR/PR reported better QL, suggesting more beneficial response to second-line endocrine treatment."
10653877,Claim,1,156,"Treatment with cisplatin-based chemotherapy provides a modest survival advantage over supportive care alone in advanced non-small-cell lung cancer (NSCLC)."
10653877,Premise,957,1203,"Superior survival was observed with the combined paclitaxel regimens (median survival time, 9.9 months; 1-year survival rate, 38.9%) compared with etoposide plus cisplatin (median survival time, 7.6 months; 1-year survival rate, 31.8%; P =. 048)."
10653877,Premise,1204,1296,"Comparing survival for the two dose levels of paclitaxel revealed no significant difference."
10653877,Premise,1297,1464,"The median survival duration for the stage IIIB subgroup was 7.9 months for etoposide plus cisplatin patients versus 13.1 months for all paclitaxel patients (P =.152)."
10653877,Premise,1465,1611,"For the stage IV subgroup, the median survival time for etoposide plus cisplatin was 7.6 months compared with 8.9 months for paclitaxel (P =.246)."
10653877,Premise,1612,1864,"With the exceptions of increased granulocytopenia on the low-dose paclitaxel regimen and increased myalgias, neurotoxicity, and, possibly, increased treatment-related cardiac events with high-dose paclitaxel, toxicity was similar across all three arms."
10653877,Premise,1865,1928,"Quality of life (QOL) declined significantly over the 6 months."
10653877,Claim,1938,2001,"QOL scores were not significantly different among the regimens."
10653877,Claim,2037,2191,"paclitaxel (135 mg/m(2)) combined with cisplatin has replaced etoposide plus cisplatin as the reference regimen in our recently completed phase III trial."
10675381,MajorClaim,218,449,"In nonrandomized studies involving patients with different tumor types including non-small-cell lung cancer (NSCLC), ATP infusion appeared to inhibit loss of weight and deterioration of quality of life (QOL) and performance status."
