id,tipo,text_start,text_end,text
id,tipo,text_start,text_end,text
10735891,Claim,1,136,"Suramin is a novel agent that has demonstrated preliminary evidence of antitumor activity in hormone-refractory prostate cancer (HRPC)."
10735891,Premise,876,998,"Overall mean reductions in combined pain and opioid analgesic intake were greater for suramin plus HC (rank sum P =.0001)."
10735891,Premise,999,1113,"Pain response was achieved in a higher proportion of patients receiving suramin than placebo (43% v 28%; P =.001),"
10735891,Premise,1118,1207,"duration of response was longer for suramin responders (median, 240 v 69 days; P =.0027)."
10735891,Premise,1208,1305,"Time to disease progression was longer (relative risk = 1.5; 95% confidence interval, 1.2 to 1.9)"
10735891,Premise,1310,1440,"the proportion of patients with a greater than 50% decline in PSA was higher (33% v 16%; P =.01) in patients who received suramin."
10735891,Premise,1441,1523,"Neither quality of life nor performance status was decreased by suramin treatment,"
10735891,Premise,1528,1557,"overall survival was similar."
10735891,Premise,1558,1647,"Most adverse events were of mild or moderate intensity and were easily managed medically."
10735891,Claim,1648,1817,"Outpatient treatment with suramin plus HC is well tolerated and provides moderate palliative benefit and delay in disease progression for patients with symptomatic HRPC."
10811675,Premise,1276,1478,"Time to progression was longer for docetaxel patients than for best supportive care patients (10.6 v 6.7 weeks, respectively; P <.001), as was median survival (7.0 v 4.6 months; log-rank test, P =.047)."
10811675,Premise,1479,1701,"The difference was more significant for docetaxel 75 mg/m(2) patients, compared with corresponding best supportive care patients (7.5 v 4.6 months; log-rank test, P =.010; 1-year survival, 37% v 11%; chi(2) test, P =.003)."
10811675,Premise,1702,1855,"Febrile neutropenia occurred in 11 patients treated with docetaxel 100 mg/m(2), three of whom died, and in one patient treated with docetaxel 75 mg/m(2)."
10811675,Premise,1856,2007,"Grade 3 or 4 nonhematologic toxicity, with the exception of diarrhea, occurred at a similar rate in both the docetaxel and best supportive care groups."
10811675,Claim,2008,2089,"Treatment with docetaxel is associated with significant prolongation of survival,"
10811675,Claim,2094,2172,"at a dose of 75 mg/m(2), the benefits of docetaxel therapy outweigh the risks."
11766999,Claim,1,185,"In the context of chronic physical illness, such as breast cancer, depression is associated with increased morbidity, longer periods of hospitalization, and greater overall disability."
11766999,Premise,755,916,"After 8-weeks treatment, depressive symptomatology had improved markedly and to a similar extent in both groups on the Montgomery Asberg Depression Rating Scale."
11766999,Premise,917,1172,"Clinical global impression (CGI) Global improvement and Patient global evaluation scales indicated that patients were minimally to much improved at study endpoint: a change from moderately/mildly ill to borderline ill on the CGI severity of Illness scale."
11766999,Claim,1173,1246,"A steady improvement in quality of life was also observed in both groups."
11766999,Premise,1247,1315,"There were no clinically significant differences between the groups."
11766999,Premise,1316,1559,"In total, 47 (53.4%) patients in the paroxetine group and 53 (59.6%) patients in the amitriptyline group had adverse experiences, the most common of which were the well-recognized side-effects of the antidepressant medications or chemotherapy."
11766999,Premise,1560,1682,"Anticholinergic effects were almost twice as frequent in the amitriptyline group (19.1%) compared with paroxetine (11.4%)."
11766999,Claim,1716,1833,"paroxetine is a suitable alternative to amitriptyline for the treatment of depression in patients with breast cancer."
11766999,Claim,186,252,"Prompt diagnosis and effective treatment is, therefore, essential."
11786563,Claim,1,190,"In a randomized clinical trial in patients with advanced non-small-cell lung cancer (NSCLC), infusion with adenosine 5'-triphosphate (ATP) inhibited loss of body weight and quality of life."
11786563,Premise,894,1205,"No change in body composition over the 28-week follow-up period was found in the ATP group, whereas, per 4 weeks, the control group lost 0.6 kg of FM (P =.004), 0.5 kg of FFM (P =.02), 1.8% of arm muscle area (P =.02), and 0.6% of BCM/kg body weight (P =.054) and decreased 568 KJ/d in energy intake (P =.0001)."
11786563,Premise,1206,1313,"Appetite also remained stable in the ATP group but decreased significantly in the control group (P =.0004)."
11786563,Premise,1314,1397,"No significant differences in REE between the ATP and control groups were observed."
11786563,Claim,1398,1567,"The inhibition of weight loss by ATP infusions in patients with advanced NSCLC is attributed to counteracting the loss of both metabolically active and inactive tissues."
11786563,Premise,1568,1634,"These effects are partly ascribed to maintenance of energy intake."
11788911,Premise,1598,1765,"At a median follow-up time of 13.5 months (range 1-28+) at June 2001, among 26 patients enrolled 12 (46.1%) were still alive and 9 (75%) of them were progression-free."
11788911,Premise,1766,1953,"The median duration of response was 9 months (range 0-25+), the median progression-free survival was 10.5 months (range 0-28+), the median overall survival time was 9 months (range 1-22)."
11788911,Premise,1954,2071,"The toxicity was significant and consisted mainly of mucositis and, to a lesser extent, neutropenia/thrombocytopenia."
11788911,Claim,2094,2229,"the low serum levels of leptin and the high serum levels of proinflammatory cytokines in advanced stage cancer patients were confirmed."
11788911,Claim,2245,2371,"this sequential induction chemotherapy and chemoradiotherapy program has been found moderately active and significantly toxic;"
11788911,MajorClaim,2471,2542,"this regimen could not be recommended for a phase III randomized study."
11790211,Claim,1,131,"Laparoscopic-assisted colectomy (LAC) has emerged as the preferred minimally invasive surgical strategy for diseases of the colon."
11790211,MajorClaim,132,192,"The safety and efficacy of LAC for colon cancer are unknown,"
11790211,MajorClaim,197,311,"the nature and magnitude of any quality-of-life (QOL) benefit resulting from LAC for colon cancer is also unknown."
11790211,Premise,927,1202,"In an intention-to-treat analysis comparing SDS pain intensity, SDS summary, QOL Index summary, and global rating scale scores at each time point, the only statistically significant difference observed between groups was the global rating scale score for 2 weeks postsurgery."
11790211,Premise,1203,1337,"The mean (median) global rating scale scores for 2 weeks postsurgery were 76.9 (80) for LAC vs 74.4 (75) for open colectomy (P =.009)."
11790211,Premise,1338,1604,"While in the hospital, patients assigned to LAC required fewer days of both parenteral analgesics compared with patients assigned to open colectomy (mean [median], 3.2 [3] vs 4.0 [4] days; P<.001) and oral analgesics (mean [median], 1.9 [1] vs 2.2 [2] days; P =.03)."
11790211,Claim,1605,1717,"Only minimal short-term QOL benefits were found with LAC for colon cancer compared with standard open colectomy."
11790211,Claim,1718,1913,"Until ongoing trials establish that LAC is as effective as open colectomy in preventing recurrence and death from colon cancer, this procedure should not be offered to patients with colon cancer."
11821453,Premise,391,520,"The objective response rate was 26% (95% confidence interval [CI], 18.2% to 34.4%), with seven complete and 23 partial responses."
11821453,Premise,521,707,"Response rates in 111 assessable patients with 3+ and 2+ HER2 overexpression by immunohistochemistry (IHC) were 35% (95% CI, 24.4% to 44.7%) and none (95% CI, 0% to 15.5%), respectively."
11821453,Premise,708,823,"The clinical benefit rates in assessable patients with 3+ and 2+ HER2 overexpression were 48% and 7%, respectively."
